"Début d'événement";"Type d'événement";"Lieu de l'événement";"Nom Organisme";"Type d'organisme";"Identifiant";"Style";"Categorie";"Genre";"Titre";"Texte Début";"Texte Milieu";"Texte Fin";"Commune";"Département";"Code INSEE";"Code Postal";"Coordonnées GPS";"Date Modification";"Jour Min";"Jour Max";"Tarif Mention Payant";"Tarif Général";"Tarif Réduit";"Tarif Autre";"Photo 1 Légende";"Photo 1 Crédit";"Photo 2 Légende";"Photo 2 Crédit";"Photo 3 Légende";"Photo 3 Crédit";"Age Minimum";"Liens Vidéos"
"2017-01-22";"Sport";"44/Abbaretz";"Football Abbaretz Saffré";"Association";"5427332";"Loisirs et sports";"Sport";"Match";"Abbaretz Saffré football-club";"";"11e journée de championnat, vétérans contre Nantes As Ouvrière, à 9 h ; à 13 h, ASFC D contre Joué B ; à 15 h, ASFC A contre AL Châteaubriant B ; en déplacement, Jans B contre ASFC C à 13 h ; Jans A contre ASFC B à 15 h.";"Dimanche 22 janvier, Stade de la Mine, Abbaretz.";"Abbaretz";"44";"44001";"44170";"47.55706, -1.531189";"2017-01-17";"2017-01-22";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-03";"Animation jeunes";"44/Divatte-sur-Loire";"Tiny tiny school, atelier anglais pour enfants";"Équipement à but non lucratif (culture, sport et loisir)";"5356114";"Loisirs et sports";"Animation loisirs jeunes";"Animation";"Atelier ludique d’anglais";"";"Ouverture d’un atelier ludique d’anglais pour les 6-8 ans et les 4-5 ans tous les mercredis à La Chapelle-Basse-Mer. Ateliers animés par un anglophone sur la base de jeux, comptines, chansons.";"Du mardi 3 janvier au mercredi 14 juin 2017, 14h15 et 15h30, La Chapelle-Basse-Mer, Divatte-sur-Loire. Tarif 200€. Inscription avant le 28 décembre. Contact : 06 61 70 25 34, tiny-tiny-school@hotmail.fr, http://tiny-tiny-school.e-monsite.com/";"Divatte-sur-Loire";"44";"44029";"44450";"47.27229, -1.33762";"2016-11-28";"2017-01-03";"2017-06-14";"oui";"200";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Spectacle";"44/Nantes";"théâtre du Sphinx";"Association";"5425817";"Concerts, spectacles";"Autres scènes";"Humour";"Nouveau départ par Kévin Robin";"Humour.";"Stand up, Dernière. Avec une touchante sincérité Kévin confie doutes, motivations, observations et conclusions sur un monde qu'il ne comprend pas toujours.";"Samedi 21 janvier, 19h, Théâtre du Sphinx, 9, rue Monteil, Nantes. Gratuit. Contact et réservation : 06 84 49 86 92, contact@theatredusphinx.com, http://www.theatredusphinx.com";"Nantes";"44";"44109";"44000";"47.21357, -1.547972";"2017-01-17";"2017-01-21";"2017-01-21";"non";"";"";"";"Kevin Robin";"";"Kevin Robin";"";"";"";"";""
"2017-01-18";"Spectacle";"44/Nantes";"le TNT, Terrain neutre théâtre";"Équipement à but non lucratif (culture, sport et loisir)";"5370871";"Concerts, spectacles";"Autres scènes";"Danse";"Let us go please";"Danse.";"Gervais Tomadiatunga utilise son corps dansant et le théâtre pour transmettre son histoire de jeune homme éduqué par la  guerre pendant quatre ans et ce qu'il en est devenu.";"Du mercredi 18 au samedi 21 janvier, 21h, Le TNT, 11, allée de la Maison-Rouge, Nantes. Tarif 12€, réduit 9€. Contact et réservation : 02 40 12 12 28, www.tntheatre.com";"Nantes";"44";"44109";"44000";"47.21254, -1.552126";"2016-12-14";"2017-01-18";"2017-01-21";"oui";"12";"9";"";"";"";"";"";"";"";"";""
"2016-09-12";"Animation jeunes";"44/Nantes";"Hora";"Association";"5236652";"Loisirs et sports";"Animation loisirs jeunes";"Animation";"Yoga enfants";"";"Accompagnement de l’enfant dans la découverte des postures (héros mythologiques, animaux, éléments). Dans une ambiance ludique et détendue l’enfant découvrira son ressenti et apprivoisera les valeurs (qualités, forces, faiblesses) incarnées par les postures.";"Du lundi 12 septembre 2016 au lundi 12 juin 2017, 16h30 à 17h30, Salle Félix-Thomas Accoord, Nantes. Payant. Contact : 07 53 02 08 05, contact@yoga-rama.com, www.yoga-rama.com";"Nantes";"44";"44109";"44000";"47.22396, -1.540806";"2016-09-06";"2016-09-12";"2017-06-12";"oui";"";"";"";"YOGA RÂMÂ";"";"";"";"";"";"";""
"2016-11-03";"Communiqué public";"44/Le Croisic";"Ville du Croisic";"Mairie";"5299093";"Vie quotidienne";"Autres communiqués des administrations (mairie...)";"Autre";"Stérilisation des chats errants";"";"Les animaux capturés seront identifiés et relâchés s’ils ont un propriétaire. Pour les autres, ils seront emmenés au cabinet vétérinaire pour y être stérilisés, tatoués et ensuite relâchés. Les personnes susceptibles d’être confronté au problème des chats errants peuvent appeler l’hôtel de ville.";"Du jeudi 3 novembre 2016 au vendredi 3 mars 2017, Hôtel de ville, 5, rue Jules-Ferry, Le Croisic. Contact : 02 28 56 78 50.";"Le Croisic";"44";"44049";"44490";"47.29353, -2.513067";"2016-10-13";"2016-11-03";"2017-03-03";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-11-07";"Atelier, activité de loisirs";"44/Petit-Auverné";"Relais accueil proximité";"Association";"5330235";"Loisirs et sports";"Atelier, activité de loisirs";"Cours";"Accompagnement scolaire";"";"Aide aux devoirs pour les enfants du primaire sur l’ensemble des communes couvertes par le RAP.";"Du lundi 7 novembre 2016 au vendredi 7 juillet 2017, Rap, 7, rue Sophie-Trébuchet, Petit-Auverné. Tarif Gratuit (Adhésion au RAP). Contact et réservation : 02 40 55 59 32, rap.relais-accueil-proximite@orange.fr";"Petit-Auverné";"44";"44121";"44670";"47.60909, -1.289942";"2016-11-03";"2016-11-07";"2017-07-07";"oui";"";"";"Gratuit (Adhésion au RAP)";"";"";"";"";"";"";"";""
"2017-01-16";"Communiqué public";"44/Vallet";"Ville de Vallet";"Mairie";"5412805";"Vie quotidienne";"Autres communiqués des administrations (mairie...)";"Autre";"Chats errants, campagne d’identification et de stérilisation";"";"Par convention avec l’association 30 millions d’amis, rue Saint-Christophe, rue Bazoges et rue Chantemerle, rue Fauvettes, une campagne d’identification et de stérilisation des chats non identifiables (non munis d’un collier avec coordonnées, de puce, de tatouage) sera effectuée.";"Du lundi 16 janvier au jeudi 16 février, Vallet. Contact : www.vallet.fr";"Vallet";"44";"44212";"44330";"47.16111, -1.26498";"2017-01-11";"2017-01-16";"2017-02-16";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-20";"Réunion, assemblée";"44/Saint-Nazaire";"La Croix-bleue, section de Saint-Nazaire";"Association";"5385744";"Réunions formations cérémonies";"Réunions, conseils, assemblées générales";"Réunion, débat, rencontre";"Croix-bleue";"Permanence mensuelle de l’hôpital.";"La Croix-bleue est à l’écoute des personnes ayant un problème avec l’alcool.";"Vendredi 20 janvier, 14h à 16h, Maison des usagers, accueil central, 11, boulevard Charpak, Saint-Nazaire. Contact : 06 31 19 56 99, 06 31 23 47 23.";"Saint-Nazaire";"44";"44184";"44600";"47.26525, -2.257336";"2016-12-14";"2017-01-20";"2017-01-20";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-05";"Communiqué public";"44/Le Croisic";"Ville du Croisic";"Mairie";"5410276";"Vie quotidienne";"Autres communiqués des administrations (mairie...)";"Recensement";"Recensement";"";"Actuellement, recensement des Français et Françaises nés en janvier, février, mars 2001. Se présenter au service des affaires générales muni du livret de famille des parents et de la carte d’identité du jeune.";"Jusqu'au vendredi 31 mars, Hôtel de ville, 5, rue Jules-Ferry, Le Croisic. Inscription avant le 31 mars. Contact : 02 28 56 78 50.";"Le Croisic";"44";"44049";"44490";"47.29353, -2.513067";"2017-01-06";"2017-01-05";"2017-03-31";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-20";"Jeux, concours";"44/Rezé";"Cepal Rezé centre (centre éducation populaire amicale laïque)";"Association";"5411484";"Loisirs et sports";"Jeux, concours, rallye";"Autre";"Concours de belote";"";"Organisé par le Cepal Rezé-centre.";"Vendredi 20 janvier, 13h30, Salle J.-B.-Marchais, 8, rue des Roquios, Rezé. Tarif 7.50€.";"Rezé";"44";"44143";"44400";"47.19204, -1.571267";"2017-01-06";"2017-01-20";"2017-01-20";"oui";"7.50";"";"";"";"";"";"";"";"";"";""
"2016-09-19";"Atelier, activité de loisirs";"44/Rezé";"Labourva al louarn";"Autre organisme à but non lucratif";"5239401";"Loisirs et sports";"Atelier, activité de loisirs";"Cours";"Cours de dessin et peinture";"";"Découverte et approfondissement de la pratique et des techniques du dessin et de la peinture. 7 élèves maximum par cours.";"Du lundi 19 septembre 2016 au samedi 17 juin 2017, Atelier, 22, avenue des Cévennes, Rezé. Payant. Inscription avant le 18 septembre. Contact : 06 32 70 54 11, www.yann-quemeneur.com";"Rezé";"44";"44143";"44400";"47.17523, -1.551499";"2016-09-06";"2016-09-19";"2017-06-17";"oui";"";"";"";"";"yann quéméneur";"";"";"";"";"";""
"2016-12-16";"Jeux, concours";"44/Crossac";"Ville de Crossac";"Mairie";"5390119";"Loisirs et sports";"Jeux, concours, rallye";"Concours";"Concours photos : l’eau dans tous ses états";"";"La commission culture de la commune organise un concours photos sur le thème de l’eau dans tous ses états. Photographes amateurs, sans conditions d’âge, proposeront 2 clichés maxi avant le 28 février 2017. Règlement et inscription sur le site.";"Jusqu'au mardi 28 février 2017, Mairie de Crossac, rue Pierre-Plaisance, Crossac. Inscription avant le 28 février. Contact : 02 40 01 02 85, mairie.crossac@wanadoo.fr, www.crossac.fr";"Crossac";"44";"44050";"44160";"47.41157, -2.168392";"2016-12-16";"2016-12-16";"2017-02-28";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-12-07";"Animation jeunes";"44/Guérande";"AVF Guérande";"Association";"5377603";"Loisirs et sports";"Animation loisirs jeunes";"Animation";"AVF Guérande : Guérande Accueil";"Animations en janvier.";"En plus de ses 50 animations créatives, culturelles, sportives, ou ludiques, l’AVF Guérande propose en janvier : une galette des rois le 10, une soirée danses le 13, une soirée jeux de mots le 20, un thé dansant à Athanor le 22, une sortie oiseaux le 23, et une soirée découverte des oiseaux le 27.";"Jusqu'au mardi 31 janvier 2017, Centre Victor-Hugo, 11, rue Victor-Hugo, Guérande. Contact et réservation : 02 40 42 96 32, avf.guerande@orange.fr";"Guérande";"44";"44069";"44350";"47.32782, -2.42942";"2016-12-07";"2016-12-07";"2017-01-31";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Sport";"44/Machecoul-Saint-Même";"Alliance Sud-Retz football";"Association";"5425906";"Loisirs et sports";"Sport";"Mémento sportif";"Alliance Sud-Retz football";"Mémento sportif.";"Samedi : à 14 h, U15 contre Entente Rezé Bouguenais ; à 14 h, U13 2 contre Bouguenais ; à 14 h 15, U12 contre Nantes Saint-Médard ; à 16 h, U16 contre la Chapelle-sur-Erdre ; les U18 jouent à Arthon à 16 h. Dimanche : à 13 h, seniors 3 contre La Chevrolière 2 ; à 15 h, seniors 2 contre Sainte-Luce 2 ; les seniors 4 jouent à Sainte-Pazanne à 13 h ; les seniors 1 jouent à Sainte-Luce à 15 h.";"Samedi 21, dimanche 22 janvier, Stade de la Rabine, Machecoul-Saint-Même.";"Machecoul-Saint-Même";"44";"44087";"44270";"46.99384, -1.819792";"2017-01-17";"2017-01-21";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-22";"Sport";"44/Sion-les-Mines";"Association sportive Sion Lusanger football (ASSL)";"Association";"5273288";"Loisirs et sports";"Sport";"Match";"AS Sion-Lusanger ASSL football";"";"À 15 h, ASSL B contre Derval SCNA C ; ASSL A en déplacement à AL Châteaubriant C ; entente ASSL C - Jans B contre Abbaretz/Saffré C à Jans à 13 h. Convocations des joueurs sur notre site.";"Dimanche 22 janvier, 15h, Stade municipal, Sion-les-Mines. Contact : assl.football@orange.fr, www.assl.fr";"Sion-les-Mines";"44";"44197";"44590";"47.73426, -1.600681";"2016-09-27";"2017-01-22";"2017-01-22";"non";"";"";"";"ASSL Section Football";"";"";"";"";"";"";""
"2017-01-20";"Horaire, permanence";"44/Nantes";"La Poste";"Autre organisme à but non lucratif";"5423416";"Vie quotidienne";"Horaires, ouverture, permanence";"Fermeture";"La Poste de Nantes République";"Fermeture.";"La Poste sera fermée pour travaux de modernisation jusqu’au 11 mars inclus. Pendant cette période, les clients pourront retirer leurs colis et lettres recommandées au centre courrier de Nantes Beaulieu. Ouvert du lundi au vendredi : 9 h 30 - 13 h et 14 h - 16 h 30 et le samedi : 9 h 30 à 12 h.";"Vendredi 20 janvier, Nantes République, 7, boulevard Victor-Hugo, Nantes.";"Nantes";"44";"44109";"44000";"47.20498, -1.553463";"2017-01-13";"2017-01-20";"2017-01-20";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Cérémonie, commémoration";"44/Villeneuve-en-Retz";"amicale sapeurs pompiers";"Association";"5413096";"Réunions formations cérémonies";"Cérémonie, commémoration, religions";"Cérémonie";"Les sapeurs pompiers fêtent Sainte-Barbe";"";"À 9 h, dépôt de gerbes au cimetière ; à 9 h 30, cérémonie de prière à l’église avec l’harmonie des jeunes de Bourgneuf ; à 10 h 30, défilé ; à 12 h, revue des troupes et des engins au CIS, discours et vin d’honneur ; à 21 h, soirée dansante à la salle polyvalente.";"Samedi 21 janvier, 9h, Bourgneuf-en-Retz, Villeneuve-en-Retz.";"Villeneuve-en-Retz";"44";"44021";"44580";"47.04266, -1.9529";"2017-01-10";"2017-01-21";"2017-01-21";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Réunion, assemblée";"44/Bouguenais";"Bouguenais classe 62-63";"Association";"5410739";"Réunions formations cérémonies";"Réunions, conseils, assemblées générales";"Assemblée générale";"Classe 62-63";"Assemblée générale.";"Suivie d'un repas et de la galette des rois. Inscription avant le 12 janvier.";"Samedi 21 janvier, 12h30, Ville-au-Denis, salle de la Fritillaire, Bouguenais. Réservation : 02 40 65 71 97. Contact : 02 40 65 36 31.";"Bouguenais";"44";"44020";"44340";"47.15818, -1.652958";"2017-01-05";"2017-01-21";"2017-01-21";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-20";"Réunion, assemblée";"44/Vay";"Ville de Vay";"Mairie";"5422399";"Réunions formations cérémonies";"Réunions, conseils, assemblées générales";"Réunion publique";"Plan local d'urbanisme";"Réunion publique. Organisateur : Ville de Vay.";"Réunion Conservation trame verte et bleue (bois et haies).";"Vendredi 20 janvier, 11h, Mairie, Vay.";"Vay";"44";"44214";"44170";"47.55407, -1.703283";"2017-01-13";"2017-01-20";"2017-01-20";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-22";"Sport";"44/La Chevallerais";"Espoir sportif Chevallerais football";"Association";"5425016";"Loisirs et sports";"Sport";"Match";"Football";"";"Championnat, La Chevallerais 1 contre Notre-Dame-des-Landes 2 ; à 13 h, féminines contre Le Loroux-Bottereau sur le terrain de Vay.";"Dimanche 22 janvier, 15h, Au stade de la Chevallerais, rue de Nozay, La Chevallerais.";"La Chevallerais";"44";"44221";"44810";"47.46951, -1.666795";"2017-01-16";"2017-01-22";"2017-01-22";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-11-19";"Atelier, activité de loisirs";"44/Sucé-sur-Erdre";"Yoga Ô bien-être";"Association";"5315876";"Loisirs et sports";"Atelier, activité de loisirs";"Autre";"Hypnose et coaching sur l'épanouissement personnel";"";"Atelier ludique, comprenant une séance d'Hypnose Sajece et du coaching, avec une coach et une hypnothérapeute. Venir avec un tapis et un plaid.";"Samedi 19 novembre 2016, samedi 21 janvier 2017, samedi 18 mars 2017, 17h, Salle Barak Ados, maison des jeunes, 14, rue de la Biguénée, Sucé-sur-Erdre. Tarif 30€. Contact et réservation : 06 11 73 22 55, yaelle.patry@free.fr, www.hypnose44.jimdo.com";"Sucé-sur-Erdre";"44";"44201";"44240";"47.30752, -1.556831";"2016-10-25";"2016-11-19";"2017-03-18";"oui";"30";"";"";"";"";"";"";"";"";"";""
"2016-12-07";"Atelier, activité de loisirs";"44/Petit-Mars";"Yoga Ô bien-être";"Association";"5315845";"Loisirs et sports";"Atelier, activité de loisirs";"Autre";"Atelier découverte de la réflexologie plantaire";"";"Massage des pieds et découverte des zones réflexes des pieds, avec une réflexologue certifiée. Venir avec un tapis et un plaid.";"Mercredi 7 décembre 2016, mercredi 4 janvier 2017, mercredi 1er février 2017, 18h45 à 20h, École de musique, salle Chopin, Petit-Mars. Tarif 30€. Contact et réservation : 06 88 28 78 79, yaelle.patry@free.fr, www.yoga-o-bienetre.jimdo.com";"Petit-Mars";"44";"44122";"44390";"47.39551, -1.456808";"2016-10-25";"2016-12-07";"2017-02-01";"oui";"30";"";"";"";"";"";"";"";"";"";""
"2016-09-07";"Formation, vie scolaire, concours";"44/Saint-Hilaire-de-Chaléons";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5244636";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lectures « Lire et faire lire »";"";"L'Udaf 44 recherche des bénévoles de plus de 50 ans pour proposer des lectures hebdomadaires à des petits groupes d'enfants dans le cadre du programme Lire et faire lire. L'objectif est de transmettre aux enfants le plaisir de la lecture et favoriser le lien intergénérationnel.";"Jusqu'au vendredi 30 juin 2017, Ecole Sainte-Thérèse, 2, rue de la Gare, Saint-Hilaire-de-Chaléons. Gratuit. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"Saint-Hilaire-de-Chaléons";"44";"44164";"44680";"47.10315, -1.8644";"2016-09-07";"2016-09-07";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-09-07";"Formation, vie scolaire, concours";"44/La Chapelle-des-Marais";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5244650";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lectures Lire et faire lire";"";"L'Udaf 44 recherche des bénévoles de plus de 50 ans pour proposer des lectures hebdomadaires à des petits groupes d'enfants dans le cadre du programme Lire et faire lire. L'objectif est de transmettre aux enfants le plaisir de la lecture et favoriser le lien intergénérationnel.";"Jusqu'au vendredi 30 juin 2017, Ecole Sainte-Marie, 7, rue des Jardins-de-Treland, La Chapelle-des-Marais. Gratuit. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"La Chapelle-des-Marais";"44";"44030";"44410";"47.44769, -2.24154";"2016-09-07";"2016-09-07";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-09-07";"Formation, vie scolaire, concours";"44/Clisson";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5244643";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lectures Lire et faire lire";"";"Reprise des lectures hebdomadaires à des petits groupes d'enfants dans le cadre du programme Lire et faire lire. L'objectif est de transmettre le plaisir de la lecture et favoriser le lien intergénérationnel. Les personnes de plus de 50 ans qui souhaitent participer peuvent contacter l'Udaf.";"Jusqu'au vendredi 30 juin 2017, École Sainte-Famille, 3, place de la Trinité, Clisson. Gratuit. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"Clisson";"44";"44043";"44190";"47.0886, -1.27787";"2016-09-08";"2016-09-07";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-17";"Exposition, musée";"44/Saint-Herblain";"Logement fraternité";"Association";"5427884";"Voir visiter";"Exposition, musée";"Exposition";"Œuvres de Fernando Costa, sculpteur";"Exposition.";"Le plasticien Fernando Costa travaille le métal sur un mode original : Il crée à partir du recyclage de panneaux de signalisation routière périmés. Ses œuvres seront mises en vente pendant l’exposition. L’artiste reversera une partie substantielle de cette vente à l’association Logement Fraternité.";"Jusqu'au mercredi 25 janvier, Porte de Sautron n° 35, 365, route de Vannes,, Saint-Herblain. Gratuit.";"Saint-Herblain";"44";"44162";"44800";"47.25058, -1.622023";"2017-01-17";"2017-01-17";"2017-01-25";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-10-17";"Formation, vie scolaire, concours";"44/Saint-Nazaire";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5303900";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lire et faire lire";"";"Les ateliers de lecture d'histoires à des petits groupes d'enfants des écoles privées Saint-Gohard, Notre-Dame-de-Toutes-Aides et Saint-Joseph de Saint-Nazaire ont repris. L'objectif est de transmettre le goût de la lecture. Les personnes de 50 ans et plus intéressées peuvent contacter l'Udaf 44.";"Jusqu'au vendredi 30 juin 2017, Saint-Nazaire. Gratuit. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"Saint-Nazaire";"44";"44184";"44600";"47.27433, -2.21372";"2016-10-17";"2016-10-17";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-09-08";"Formation, vie scolaire, concours";"44/Saint-Nazaire";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5245932";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lectures « Lire et faire lire »";"";"Reprise des lectures hebdomadaires à des petits groupes d'enfants dans le cadre du programme Lire et faire lire. L'objectif est de transmettre le plaisir de la lecture et favoriser le lien intergénérationnel. Les personnes de plus de 50 ans qui souhaitent participer peuvent contacter l'Udaf.";"Jusqu'au vendredi 30 juin 2017, Saint-Nazaire. Gratuit. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"Saint-Nazaire";"44";"44184";"44600";"47.27433, -2.21372";"2016-09-08";"2016-09-08";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-09-08";"Formation, vie scolaire, concours";"44/Treillières";"Union départementale des associations familiales de Loire-Atlantique";"Association";"5245945";"Réunions formations cérémonies";"Formation, vie scolaire, examens, concours";"Vie scolaire (inscriptions...)";"Lectures « Lire et faire lire »";"";"Reprise des lectures hebdomadaires à des petits groupes d'enfants dans le cadre du programme Lire et faire lire. L'objectif est de transmettre le plaisir de la lecture et favoriser le lien intergénérationnel. Les personnes de plus de 50 ans qui souhaitent participer peuvent contacter l'Udaf.";"Jusqu'au vendredi 30 juin 2017, Treillières. Gratuit. Contact : 02 51 80 30 04, info@udaf44.asso.fr, www.udaf44.fr";"Treillières";"44";"44209";"44119";"47.32386, -1.61465";"2016-09-08";"2016-09-08";"2017-06-30";"non";"";"";"";"";"";"";"";"";"";"";""
"2016-09-20";"Atelier, activité de loisirs";"44/Treillières";"Treillières accueil";"Association";"5259968";"Loisirs et sports";"Atelier, activité de loisirs";"Autre";"Langues, art floral, peinture sur porcelaine, pastel, couture";"";"Activités proposées par Treillières accueil. Des places sont encore disponibles.";"Du mardi 20 septembre 2016 au vendredi 30 juin 2017, Rue de la Mairie, Treillières. Payant. Contact et réservation : treillieres.accueil@orange.fr";"Treillières";"44";"44209";"44119";"47.32386, -1.61465";"2016-09-19";"2016-09-20";"2017-06-30";"oui";"";"";"";"";"";"";"";"";"";"";""
"2016-12-05";"Conférence";"44/Saint-Nazaire";"Le Grand Café, Centre d'art contemporain";"Équipement à but non lucratif (culture, sport et loisir)";"5358019";"Voir visiter";"Conférence";"Conférence";"Une Saison Américaine : cycle d’initiation en histoire de l’art";"Conférence.";"Dans le cadre du centenaire du débarquement des soldats américains à Saint-Nazaire, l’École d’arts et le Grand Café s’allient pour proposer 5 conférences d’initiation sur l’Histoire de l’Art américain. Possibilité de voter les sujets de 3 conférences en suivant ce lien. http://urlz.fr/4pZX.";"Lundi 5 décembre 2016, lundi 9 janvier 2017, lundi 6 février 2017, 18h30, École D’Art, 24, avenue Léon-Blum, Saint-Nazaire. Tarif 3€. Contact : 02 44 73 44 00, grand_cafe@mairie-saintnazaire.fr, http://www.grandcafe-saintnazaire.fr/fr/";"Saint-Nazaire";"44";"44184";"44600";"47.27288, -2.212217";"2016-11-24";"2016-12-05";"2017-02-06";"oui";"3";"";"";"";"";"";"";"";"";"";""
"2017-01-05";"Exposition, musée";"44/Nantes";"espace Cosmopolis";"Équipement à but non lucratif (culture, sport et loisir)";"5368902";"Voir visiter";"Exposition, musée";"Exposition";"L'Europe de la tête aux pieds";"Exposition.";"Le Centre Culturel Européen propose une exposition autour de la chaussure pas seulement en tant qu'objet d'habillement mais aussi en tant que concept et entité symbolique, lorsque l'art s'en empare et la détourne. Un panorama artistique, historique et sociologique des cultures européennes.";"Du jeudi 5 au dimanche 22 janvier 2017, 14h à 18h, Cosmopolis, 18, rue Scribe, Nantes. Gratuit. Contact : 02 52 10 82 00, cosmopolis-nantes@nantesmetropole.fr, www.nantes.fr/cosmopolis";"Nantes";"44";"44109";"44000";"47.21419, -1.562649";"2016-12-08";"2017-01-05";"2017-01-22";"non";"";"";"";"L'Europe dans la tête aux pieds";"";"";"";"";"";"";""
"2017-01-20";"Concert";"44/Rezé";"le Canon à Pat'";"Autre organisme à but non lucratif";"5426572";"Concerts, spectacles";"Concert, spectacle musical";"Rock";"Margaret et Jaune dark";"Rock.";"Jaune dark, duo basse guitare et chant. Margaret, trio du grand Nord-Ouest propose une musique indie rock texturée, simple et fuzzy.";"Vendredi 20 janvier, 19h30, Le Canon à Pat', 51, rue Alsace-Lorraine, Rezé. Contact et réservation : 02 28 00 06 46, lecanonapat@orange.fr";"Rezé";"44";"44143";"44400";"47.19181, -1.546166";"2017-01-17";"2017-01-20";"2017-01-20";"non";"";"";"";"Margaret";"";"Jaune Dark";"";"";"";"";""
"2017-01-15";"Randonnée";"44/Couëron";"Concorde randonnée";"Association";"5420795";"Loisirs et sports";"Sport";"Randonnée pédestre";"Concorde randonnée";"Randonnée pédestre.";"Dimanche à 8 h 15, un groupe, 13-15 km à Saint-Aignan-de-Grand-Lieu les Halbrans. Mardi à 9 h, marche nordique à Sautron la vallée du Cens et à 14 h, 2 groupes, 13 km et 11 km. Jeudi à 14 h, un groupe, 6-7 km environ petite vitesse. Samedi à 14 h, marche nordique à Couëron.";"Du dimanche 15 au samedi 21 janvier, Parking du vélodrome, Couëron. Contact : 02 40 86 02 65, bmc.barre@orange.fr";"Couëron";"44";"44047";"44220";"47.21442, -1.72534";"2017-01-12";"2017-01-15";"2017-01-21";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-06";"Atelier, activité de loisirs";"44/Sainte-Anne-sur-Brivet";"Arts et loisirs du Brivet";"Association";"5403209";"Loisirs et sports";"Atelier, activité de loisirs";"Autre";"Tricot, crochet";"";"Arts et Loisirs du Brivet vous propose une nouvelle activité.";"Vendredi 6, vendredi 20 janvier, 14h, Salle associative espace Les Pirogues, rue du Mortier-Plat, Sainte-Anne-sur-Brivet. Contact : 06 35 97 19 95, moinet.j@sfr.fr";"Sainte-Anne-sur-Brivet";"44";"44152";"44160";"47.45962, -2.00598";"2016-12-30";"2017-01-06";"2017-01-20";"non";"";"";"";"";"";"";"";"";"";"";""
"2017-01-21";"Conférence";"44/Nantes";"Institut Kadam Tcheuling Nantes (IKTN)";"Association";"5428708";"Voir visiter";"Conférence";"Conférence";"Groupe d’étude : les notions de base du bouddhisme";"Conférence.";"Groupe d’étude sur les notions de base de la philosophie bouddhiste, notamment du mental et des fonctionnalités de l’esprit en s’appuyant sur les enseignements du maître tibétain Dagpo Rimpotché. Objectif : mieux connaître le fonctionnement mental afin de se préserver du maximum de souffrances.";"Samedi 21 janvier, 10h à 12h, Maison des Syndicats salle B 1er étage, 27, boulevard Prairie-au-Duc, Nantes. Gratuit. Contact : 06 04 16 75 55, nantesgroupedetude@yahoo.fr, evenements-nantes.fr";"Nantes";"44";"44109";"44000";"47.21938, -1.535189";"2017-01-18";"2017-01-21";"2017-01-21";"non";"";"";"";"Notre lama racine, le maître tibétain Dagpo Rimpotché.";"";"";"";"";"";"";""
