"Debut d'evenement";"Type d'evenement";"Lieu de l'evenement";"Nom Organisme";"Type d'organisme";"Identifiant";"Style";"Categorie";"Genre";"Titre";"Texte Debut";"Texte Milieu";"Texte Fin";"Commune";"Departement";"Code INSEE";"Code Postal";"Coordonnees GPS";"Jour Min";"Jour Max";"Tarif Mention Payant";"Tarif General";"Tarif Autre";"Age Minimum";"Mention Accessible Handicap";"Liens Billeteries";"Liens Videos"
"01/09/2016";"Horaire, permanence";"44/Nantes";"Astree";"Association";"5233709";"Vie quotidienne";"Horaires, ouverture, permanence";"Horaires";"Association Astree";"Horaires.";"Astree, association reconnue d'utilite publique, recherche des benevoles pour pratiquer des accompagnements individualises bases sur l'ecoute active auprès de personnes fragilisees (1 h 30 par semaine et 2 h de reunion par mois). Formation et encadrement assures.";"Jusqu'au vendredi 29 septembre 2017, 9h à 12h30 et 13h30 à 18h, Nantes. Contact et reservation : 02 28 08 05 82, 06 21 49 60 64, nantes@astree.asso.fr, www.astree.asso.fr";"Nantes";"44";"44109";"44000";"47.21684, -1.55674";"01/09/2016";"29/09/2017";"non";"";"";"";"";"";""
"19/09/2016";"Atelier, activite de loisirs";"44/Nantes";"Enem";"Association";"5251834";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Appel aux familles nantaises";"";"Échanges Nantes etudiants du monde (Enem) met en contact une famille Nantaise avec un etudiant etranger qui en fait la demande. L’objectif est d’etablir un contact chaleureux, permettre au jeune de parler Français et de decouvrir notre culture.";"Du lundi 19 septembre 2016 au vendredi 30 juin 2017, Nantes. Tarif 5€. Contact : 06 32 77 37 74, asso.enem@gmail.com, asso-enem.fr";"Nantes";"44";"44109";"44000";"47.21684, -1.55674";"19/09/2016";"30/06/2017";"oui";"5";"";"";"";"";""
"28/10/2016";"Exposition, musee";"44/Nantes";"galerie Confluence";"Association";"5293580";"Voir visiter";"Exposition, musee";"Exposition";"Les chambres blanches de Luca GIlli, photographe italien";"Exposition.";"A l'occasion de l'exposition l'histoire du musee des beaux-arts jusqu'au musee d'arts à L'Atelier (Nantes), la galerie Confluence presente parallèlement une selection de sa nouvelle serie de photos inedites prises à differents stades de la renovation du musee.";"Du vendredi 28 octobre au jeudi 22 decembre, 15h à 19h, Galerie Confluence, 45, rue de Richebourg, Nantes. Gratuit. Contact et reservation : 09 52 77 23 14, contact@galerie-confluence.fr, http://www.galerie-confluence.fr";"Nantes";"44";"44109";"44000";"47.21698, -1.546794";"28/10/2016";"22/12/2016";"non";"";"";"";"";"";""
"16/12/2016";"Horaire, permanence";"44/Nantes";"Pôle emploi Pays de la Loire, service communication";"Administration, service public, parapublic";"5381567";"Vie quotidienne";"Horaires, ouverture, permanence";"Fermeture";"Pôle emploi";"Fermeture.";"Chacun pourra cependant gerer à distance ses operations via internet ou par telephone au 39 49 (service gratuit et prix appel).";"Vendredi 16 decembre, 8h30 à 12h30, Nantes.";"Nantes";"44";"44109";"44000";"47.21684, -1.55674";"16/12/2016";"16/12/2016";"non";"";"";"";"";"";""
"13/12/2016";"Spectacle";"44/Nantes";"la compagnie du Cafe-Theâtre";"Équipement à but non lucratif (culture, sport et loisir)";"5297827";"Concerts, spectacles";"Autres scènes";"Humour";"Daniel Camus « Adopte »";"Humour.";"Daniel Camus interagit avec le public comme une soiree entre amis. Enfance, adolescence où l’on draguait en mob', Daniel evoque sa famille, ses potes, ses premières fois jusqu’à son desir de liberte.";"Du mardi 13 au samedi 17 decembre, 21h, La compagnie du Cafe-Theâtre, 6, rue des Carmelites, Nantes. Tarif 20€, reduit 13€. Contact et reservation : 02 40 89 65 01, infos@lacompagnieducafetheatre.fr, http://www.nantes-spectacles.com/cie265-daniel-camus.html";"Nantes";"44";"44109";"44000";"47.21656, -1.551213";"13/12/2016";"17/12/2016";"oui";"20";"";"";"";"";""
"17/12/2016";"Concert";"44/Nantes";"association Musique sacree, cathedrale de Nantes";"Association";"5285347";"Concerts, spectacles";"Concert, spectacle musical";"Classique";"Concert Noëls en-chantant";"Classique.";"Avec la Pre-Maîtrise et l'organiste Michel Bourcier c'est l'histoire de Noëls ! Le public n'a qu'à bien se tenir, car petits et grands pourront decouvrir et chanter les plus beaux chants de Noëls avec les enfants . L'orgue quant à lui fera resonner les plus beaux Noëls de Louis-Claude Daquin.";"Samedi 17 decembre, 15h, Chapelle de l'Immaculee, rue Malherbe, Nantes. Gratuit. Contact et reservation : 02 40 35 76 43, contact@musiquesacree-nantes.cef.fr, www.musiquesacree-nantes.cef.fr";"Nantes";"44";"44109";"44000";"47.218, -1.546612";"17/12/2016";"17/12/2016";"non";"";"";"";"Auditif|Visuel|Mental|Moteur";"";""
"26/09/2016";"Atelier, activite de loisirs";"44/Nantes";"la compagnie du Cafe-Theâtre";"Équipement à but non lucratif (culture, sport et loisir)";"5187680";"Loisirs et sports";"Atelier, activite de loisirs";"Atelier theâtre";"Atelier theâtre";"";"Cours pour enfants et adolescents, l’ecole du rire de la compagnie du Cafe-Theâtre, parrainee par Anne Roumanoff, propose des cours de deux 2 h par semaine (hors vacances scolaires), diriges par une equipe de professeurs de theâtre, le soir de 18 h à 20 h ou le mercredi.";"Du lundi 26 septembre 2016 au vendredi 30 juin 2017, 10h30, 13h30 et 16h, La compagnie du Cafe-Theâtre, 6, rue des Carmelites, Nantes. Tarif 420€. Contact et reservation : 06 60 90 38 61, http://www.nantes-spectacles.com/cours-de-theatre-nantes.html";"Nantes";"44";"44109";"44000";"47.21656, -1.551213";"26/09/2016";"30/06/2017";"oui";"420";"";"";"";"";""
"09/12/2016";"Exposition, musee";"44/Nantes";"espace Cosmopolis";"Équipement à but non lucratif (culture, sport et loisir)";"5344732";"Voir visiter";"Exposition, musee";"Exposition";"Chroniques d'Afrique Centrale";"Exposition.";"Exposition de peintures d'expression narrative d'artistes Congolais et Centrafricains. Par leurs toiles, ces artistes revendiquent une approche ethique et engagee, humoristique ou poetique, documentaire ou surrealisante, des problematiques sociales et politiques de leur pays respectifs.";"Du vendredi 9 au samedi 31 decembre, 13h30 à 18h et 14h à 18h, Cosmopolis, 18, rue Scribe, Nantes. Gratuit. Contact : 02 52 10 82 00, cosmopolis-nantes@nantesmetropole.fr, www.nantes.fr/cosmopolis";"Nantes";"44";"44109";"44000";"47.21419, -1.562649";"09/12/2016";"31/12/2016";"non";"";"";"";"Auditif|Mental|Moteur";"";""
"16/12/2016";"Cinema";"44/Nantes";"Pour un sourire d'enfant Loire-Ocean";"Association";"5381194";"Voir visiter";"Cinema";"Cinema";"Film Les Pepites de Xavier de Lauzanne au cinema Bonne Garde";"Cinema.";"Histoire d'une aventure humaine extraordinaire, celle d'un couple de retraites, qui se battent sans limite pour sortir des enfants de l'extrême misère et les conduire à un emploi. 10000 enfants peuvent acceder à l'education et se construire un avenir. Debat avec le president de PSE Loire Ocean.";"Vendredi 16 decembre, 20h, Cinema Bonne Garde, 20, rue Frère-Louis, Nantes. Tarif 5€, reduit 4.50€, autre : carte blanche: 3€. Reservation : 02 51 83 66 71, www.cinemalebonnegarde.com. Contact : 02 40 54 86 01, hervebain@wanadoo.fr";"Nantes";"44";"44109";"44000";"47.19511, -1.538908";"16/12/2016";"16/12/2016";"oui";"5";"carte blanche: 3€";"";"Moteur";"";""
"07/12/2016";"Atelier, activite de loisirs";"44/Nantes";"Universite de Nantes, direction culture et initiatives";"Etablissement scolaire, universitaire";"5378657";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Universite de Nantes, direction culture et initiatives";"Concours de nouvelles etudiantes.";"Pour la 3e edition, Faites court !, la direction Culture et initiatives invitent à imaginer un texte sur le thème des metamorphoses. Les meilleurs textes seront publies.";"Jusqu'au mardi 10 janvier 2017, Campus Tertre, TU-Nantes, Nantes. Gratuit. Inscription avant le 10 janvier. Contact : culture@univ-nantes.fr, www.univ-nantes.fr";"Nantes";"44";"44109";"44000";"47.21757, -1.542028";"07/12/2016";"10/01/2017";"non";"";"";"";"Auditif|Moteur";"";""
"01/09/2016";"Animation jeunes";"44/Nantes";"Entraide scolaire amicale";"Association";"5233637";"Loisirs et sports";"Animation loisirs jeunes";"Animation";"Entraide scolaire amicale";"Aide scolaire.";"Comme chaque annee, des enfants entrent à l'ecole ou changent de classe. Certains rencontrent des difficultes, et nous tentons d'aider ceux dont les familles ne peuvent s'accorder l'aide d'un enseignant particulier.";"Jusqu'au jeudi 31 août 2017, Nantes. Gratuit. Contact : 06 09 97 06 93, esa.antenne.nantes@gmail.com, http://www.entraidescolaireamicale.org/";"Nantes";"44";"44109";"44000";"47.21684, -1.55674";"01/09/2016";"31/08/2017";"non";"";"";"";"";"";""
"25/11/2016";"Exposition, musee";"44/Nantes";"espace Simone-de-Beauvoir, droits des femmes";"Association";"5338847";"Voir visiter";"Exposition, musee";"Exposition";"Vous ne pouvez pas rester comme ça, Madame...";"Exposition.";"Exposition du photo-reporter Pierre-Yves Ginet sur les violences conjugales, realisee par l'association Femmes ici et Ailleurs. Horaires d'ouverture : lundis de 12 h à 17 h ; mardis de 10 h à 17 h ; mercredi de 12 h à 15 h ; jeudi de 12 h à 17 h.";"Du vendredi 25 novembre 2016 au jeudi 19 janvier 2017, 12h à 15h, Espace Simone-de-Beauvoir, 15, quai Ernest-Renaud, Nantes. Gratuit. Contact : 02 40 12 15 18, contact@espace-de-beauvoir.fr, http://www.espace-de-beauvoir.fr/";"Nantes";"44";"44109";"44000";"47.20652, -1.573833";"25/11/2016";"19/01/2017";"non";"";"";"";"Auditif|Visuel|Mental|Moteur";"";""
"10/12/2016";"Spectacle";"44/Nantes";"passage Sainte-Croix";"Équipement à but non lucratif (culture, sport et loisir)";"5302418";"Concerts, spectacles";"Autres scènes";"Autre";"Exposition temporaire de JL Pasquet: voici l'eau";"";"Le Passage Sainte-Croix donne carte blanche à l'artiste plasticien nantais Jean-Louis Pasquet pour metamorphoser le Patio et plonger le promeneur dans une œuvre textile immersive et lumineuse aux couleurs de l'eau.";"Du samedi 10 decembre 2016 au samedi 11 fevrier 2017, Passage Sainte-Croix, 9, rue de la Bâclerie, quartier Bouffay, Nantes. Gratuit. Contact : 02 51 83 23 75, accueil.passage@gmail.com, http://www.passagesaintecroix.fr";"Nantes";"44";"44109";"44000";"47.21514, -1.55368";"10/12/2016";"11/02/2017";"non";"";"";"";"Moteur";"";""
"21/09/2016";"Multimedia";"44/Nantes";"association du quartier de Doulon, informatique";"Association";"5266161";"Voir visiter";"Multimedia";"Multimedia";"Cours d’informatique de l’association quartier Doulon";"Multimedia.";"Reprise des cours lundi 26 septembre à partir de 9 h 45. Il reste des places en informatique, en photo (travailler et modifier la photo), faire un diaporama, se servir de la tablette et du Smartphone.";"Jusqu'au jeudi 22 decembre, Nantes. Payant. Contact : 06 63 16 82 53, tamayoyvonne@orange.fr, http://a.q.d.free.fr";"Nantes";"44";"44109";"44000";"47.21684, -1.55674";"21/09/2016";"22/12/2016";"oui";"";"";"";"";"";""
"17/12/2016";"Concert";"44/Nantes";"mission Timothee";"Association";"5364589";"Concerts, spectacles";"Concert, spectacle musical";"Chant choral";"Chorale de la mission Timothee";"Chant choral.";"10e portes ouvertes. Presence des associations partenaires.";"Samedi 17 decembre, 16h, Mission Timothee, 93, boulevard Auguste-Peneau, Nantes. Gratuit. Contact et reservation : 06 62 24 25 85.";"Nantes";"44";"44109";"44000";"47.23034, -1.510442";"17/12/2016";"17/12/2016";"non";"";"";"";"Visuel|Mental|Moteur";"";""
"17/12/2016";"Spectacle";"44/Nantes";"compagnie la Plume d'or";"Association";"5175359";"Concerts, spectacles";"Autres scènes";"Contes";"Quand soufflent les contes pour les bebes. brr, voici l’hiver";"Contes.";"Seance de transmission autour des comptines, jeux tactiles d’imitation ou de langage, berceuses et petits contes, pour enrichir son repertoire oral pour communiquer avec son enfant. Un thème different à chaque seance. Pour les 0/3 ans. «Neige neige blanche, tombe sur ma tête et sur mon petit nez !».";"Samedi 17 decembre, 9h15 et 11h, Pôle associatif Sully, 7, rue Henri-Cochard, Nantes. Tarif 4€, autre : famille : 10 € pour 3 personnes. Contact et reservation : quandsoufflentlescontes@compagnielaplumedor.fr, http://www.compagnielaplumedor.fr/";"Nantes";"44";"44109";"44000";"47.21837, -1.553621";"17/12/2016";"17/12/2016";"oui";"4";"famille : 10 € pour 3 personnes";"";"";"";""
"16/12/2016";"Spectacle";"44/Nantes";"theâtre du Cyclope";"Association";"5141096";"Concerts, spectacles";"Autres scènes";"Danse";"La voix est libre (pièce pour deux danseuses et une DJ)";"Danse.";"Une DJ et deux danseuses vous plongent dans leur univers qui fait echo aux ecrits et aux voix d’Angela Davis, Alice Walker, Billie Holiday ou encore Bessie Smith a travers une ecriture singulière instaurant un dialogue sonore et corporel entre les trois interprètes.";"Vendredi 16 decembre, 21h, samedi 17 decembre, 21h, dimanche 18 decembre, 17h, Theâtre du Cyclope, 82, rue du Marechal-Joffre, Nantes. Tarif 11€, reduit 9€, autre : 6 €. Contact et reservation : 02 51 86 45 07, theatreducyclope@gmail.com, www.theatreducyclope.com";"Nantes";"44";"44109";"44000";"47.22034, -1.549009";"16/12/2016";"18/12/2016";"oui";"11";"6 €";"";"Mental";"";""
"23/10/2016";"Atelier, activite de loisirs";"44/Nantes";"la Folie des arts";"Association";"5162164";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Ateliers Theâtre du dimanche";"";"Atelier d’initiation et/ou de perfectionnement à la parole grâce aux outils de l’acteur. Acquerir une respiration juste et être detendu, être attentif au rythme des phrases et aux attitudes du corps.";"Dimanche 23 octobre 2016, dimanche 9 avril 2017, 14h à 18h, La Folie des arts, 16 bis, rue du Chanoine-Poupard, Nantes. Tarif 55 € et 10 € adhesion association LFDA. Contact et reservation : 06 65 59 30 51, demfau@aol.com, http://www.foliedesartsnantes.org/ateliers-stages/ateliers-th%C3%A9%C3%A2tre/";"Nantes";"44";"44109";"44000";"47.24836, -1.575765";"23/10/2016";"09/04/2017";"oui";"";"55 € et 10 € adhesion association LFDA";"";"";"";""
"17/12/2016";"Action caritative";"44/Nantes";"les Griffes de l'espoir";"Association";"5382633";"Vie quotidienne";"Quête, vente caritative, appel aux dons";"Operation solidarite";"Les Griffes de l'espoir";"Operation solidarite.";"Journee d'adoption de chatons et de jeunes chats abandonnes. Ils sont tous testes, vaccines, identifies et sterilises.";"Samedi 17 decembre, 10h à 17h, Salle la Prime, 5, place Alexandre-Vincent, Nantes. Contact : 06 03 95 36 52, 02 40 37 51 56, griffesespoirnantes@gmail.com, griffesespoir44.vpweb.fr";"Nantes";"44";"44109";"44000";"47.23198, -1.577639";"17/12/2016";"17/12/2016";"non";"";"";"";"Moteur";"";""
"18/12/2016";"Visite";"44/Nantes";"le Voyage à Nantes, direction du developpement touristique";"Office de tourisme, syndicat d'initiative";"5272643";"Voir visiter";"Sorties, visites (monuments, parcs, zoo,...)";"Visite";"Nantes vue du ciel";"";"Au 32e etage de la Tour de Bretagne un volatile mi- cigogne, mi-heron, designe par l'artiste Jean Julien a fait son Nid. A ses côtes, à 144 m de hauteur, Nantes à 360° comme vue du ciel. En raison du dispositif de securite la visibilite sur le panorama necessite une taille minimum de 1m30.";"Dimanche 18 decembre, 11h30, Accueil Tour Bretagne, place de Bretagne, Nantes. Tarif 9€, reduit 6€, autre : 2 € pour les moins de 12 ans. Gratuit pass Nantes. En cas d'intemperies, la visite peut être annulee. Contact et reservation : 08 92 46 40 44, info@nantes-tourisme.com, www.nantes-tourisme.com";"Nantes";"44";"44109";"44000";"47.21758, -1.559479";"18/12/2016";"18/12/2016";"oui";"9";"2 € pour les moins de 12 ans. Gratuit pass Nantes. En cas d'intemperies, la visite peut être annulee";"";"";"";""
"17/12/2016";"Sport";"44/Nantes";"Nantes floorball";"Association";"5387211";"Loisirs et sports";"Sport";"Match";"3e 4e journee de championnat de France de floorball division 2";"";"Avec poule ouest, Cean, Brest, Saint Lô, Rennes, Angers, Le Mans, Nantes 2. Le floorball est un sport collectif où 2 equipes de 5 joueurs et un gardien par camp s'affrontent, l'objectif etant de mettre dans le but adverse une balle creuse.";"Samedi 17 decembre, 14h à 18h, dimanche 18 decembre, 9h à 14h, Gymnase Bottière-Chenais, route de Sainte-Luce, Nantes. Gratuit. Contact : 06 61 92 12 65, manuel.alexandre@floorball.fr, http://www.nantesfloorball.com";"Nantes";"44";"44109";"44000";"47.23927, -1.512951";"17/12/2016";"18/12/2016";"non";"";"";"";"Auditif|Mental|Moteur";"";""
"18/12/2016";"Spectacle";"44/Nantes";"le Lieu-Magique";"Association";"5374651";"Concerts, spectacles";"Autres scènes";"Autre";"Spectacle de magie : un noël de magicien par Max Zargal";"";"Comment decore-t-on un sapin par magie pour le rendre etincelant, quel est le secret du père Noël pour passer dans la cheminee ? Jocko le singe ventriloque a prepare une surprise pour Noël.";"Dimanche 18, lundi 19, mardi 20 decembre, 16h, Le Lieu magique, 25, quai François-Mitterrand, Nantes. Tarif 8€, autre : Adulte seul 14. Contact et reservation : 02 51 83 85 09, lelieumagique@orange.fr, http://lelieumagique.com/";"Nantes";"44";"44109";"44000";"47.20815, -1.563332";"18/12/2016";"20/12/2016";"oui";"8";"Adulte seul 14";"";"Auditif|Mental|Moteur";"";""
"17/12/2016";"Visite";"44/Nantes";"le Voyage à Nantes, direction du developpement touristique";"Office de tourisme, syndicat d'initiative";"5288322";"Voir visiter";"Sorties, visites (monuments, parcs, zoo,...)";"Visite";"Nantes insolite";"";"L'adage dit souvent que ""le diable est dans le detail"", ici les details deviennent diablement bavards ! Lectures et citations d'auteurs tels que Andre Breton, Flaubert ou Stendhal, personnages celèbres, anecdotes ou faits d'histoire rocambolesques.";"Samedi 17 decembre, 18h, Nantes Tourisme, 9, rue des États, Nantes. Tarif 7€, reduit 4€, autre : gratuit pour les enfants de moins de 12 ans et avec le pass Nantes. Contact et reservation : 08 92 46 40 44, info@nantes-tourisme.com, www.nantes-tourisme.com";"Nantes";"44";"44109";"44000";"47.21567, -1.550749";"17/12/2016";"17/12/2016";"oui";"7";"gratuit pour les enfants de moins de 12 ans et avec le pass Nantes";"";"";"";""
"16/12/2016";"Concert";"44/Nantes";"la Ruche";"Association";"5295532";"Concerts, spectacles";"Concert, spectacle musical";"Autre";"Tablao, Helena Cuento";"";"Le flamenco est un puits infini d'emotions et de styles, de la joie, à la melancolie, en passant par la colère ou même la peur. Tablao peint ces emotions comme une succession d'images allegoriques personnifiees par la danse, mais aussi par le chant, la guitare et le rythme.";"Vendredi 16, samedi 17, dimanche 18 decembre, 20h30, La Ruche, 8, rue Felibien, Nantes. Tarif 12€, reduit 8€. Contact et reservation : 02 51 80 89 13, resa@laruchenantes.fr, www.laruchenantes.fr";"Nantes";"44";"44109";"44000";"47.22102, -1.563876";"16/12/2016";"18/12/2016";"oui";"12";"";"";"Visuel|Mental|Moteur";"";""
"27/06/2016";"Exposition, musee";"44/Nantes";"Maison des Hommes et des techniques";"Association";"5138761";"Voir visiter";"Exposition, musee";"Exposition";"Histoires d'epaves. L'archeologie en eaux bretonnes";"Exposition.";"L'exposition met à l'honneur les differents sites archeologiques bretons, leurs epaves et le mobilier retrouve sur place, ainsi que l'important travail realise par les archeologues, les historiens et les plongeurs. Dix-sept epaves sont presentees, et plus d'une centaine d'objets archeologiques.";"Du lundi 27 juin 2016 au vendredi 13 janvier 2017, 10h à 12h30 et 14h à 18h, Maison des Hommes et des techniques, bâtiment Ateliers et chantiers de Nantes, 2 bis, boulevard Leon-Bureau, Nantes. Gratuit. Contact : 02 40 08 20 22, mht.nantes@wanadoo.fr, www.maison-hommes-techniques.fr";"Nantes";"44";"44109";"44000";"47.20686, -1.56457";"27/06/2016";"13/01/2017";"non";"";"";"";"Moteur";"";""
"16/12/2016";"Spectacle";"44/Nantes";"Adit";"Association";"5377382";"Concerts, spectacles";"Autres scènes";"Theâtre d'improvisation";"Bagarre d'improvisation theâtrale du Cito";"";"Improvisation theâtrale entre 2 troupes qui s'affrontent face au public qui vote pour ses interpretations preferees.";"Vendredi 16 decembre, 20h30, Maison de quartier la Bottière, 147, route de Sainte-Luce, Nantes. Gratuit.";"Nantes";"44";"44109";"44000";"47.23626, -1.518369";"16/12/2016";"16/12/2016";"non";"";"";"";"";"";""
"16/12/2016";"Atelier, activite de loisirs";"44/Nantes";"la Malle à case";"Association";"5358139";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Groupe de parole Parlons-du vieillissement";"";"L'avancee en âge peut amener à se poser certaines questions, relatives à la mobilite, au rapport au corps, ou encore à l'estime de soi. La Malle à case propose desormais un groupe de paroles mensuel avec une psychologue specialisee.";"Vendredi 16 decembre, 14h30, 2, rue de Hongrie, Nantes. Gratuit. Contact et reservation : 02 40 75 63 74, contact@lamalleacase.fr";"Nantes";"44";"44109";"44000";"47.21658, -1.52332";"16/12/2016";"16/12/2016";"non";"";"";"";"";"";""
"19/11/2016";"Spectacle";"44/Nantes";"le Grand T";"Équipement à but non lucratif (culture, sport et loisir)";"5175041";"Concerts, spectacles";"Autres scènes";"Cirque";"Bestias";"";"Baro d’Evel Cirk Compagnie pose pour la première fois ses valises à Nantes. Une tribu d’hommes dansants, de puissants chevaux, et de drôles d’oiseaux. Tous en liberte. Un autre monde, choregraphique, acrobatique et clownesque. Venez voir, c’est un superbe rêve eveille pour petits et grands.";"Du samedi 19 novembre au vendredi 16 decembre, Île de Nantes, parc des chantiers, boulevard de la Prairie-au-Duc, Nantes. Tarif 25€, reduit 21€, autre : 12 €. Reservation : 02 51 88 25 25, billetterie@legrandt.fr, www.legrandt.fr";"Nantes";"44";"44109";"44000";"47.20597, -1.564465";"19/11/2016";"16/12/2016";"oui";"25";"12 €";"";"Moteur";"";""
"18/12/2016";"Concert";"44/Nantes";"Les amis de l'orgue";"Association";"5376620";"Concerts, spectacles";"Concert, spectacle musical";"Classique";"Lidia ksiazkiewicz, Noëls pour orgue à Bon Port";"Classique.";"Lidia ksiazkiewicz est originaire de Pologne, organiste à la carrière internationale, laureate de nombreux prix, titulaire du grand orgue de la cathedrale de Laon et professeure au CRR de Stasbourg. Au programme : Noëls français pour orgue des 17è au 19èm siècles. Concert retransmis, sur grand ecran";". Dimanche 18 decembre, 16h, Église Notre-Dame-de-Bon-Port, place du Sanitat, Nantes. Payant. Contact : 02 51 71 02 09, amis.orgue.nantes@orange.fr, www.orgue-nantes.com";"Nantes";"44";"44109";"44000";"47.20964, -1.570473";"18/12/2016";"18/12/2016";"oui";"";"";"";"Visuel|Moteur";"";""
"17/12/2016";"Concert";"44/Nantes";"le Pannonica";"Équipement à but non lucratif (culture, sport et loisir)";"5181902";"Concerts, spectacles";"Concert, spectacle musical";"Jazz";"Le Big Band Universitaire dancing";"Jazz.";"Le Big Band Universitaire de Nantes et ses trois chanteuses proposent de faire revivre la tradition des grands orchestres de danse où le funk côtoie le swing. Au programme Lindy Hop, « typique », et funky music pour le plaisir de danser sur de la musique live.";"Samedi 17 decembre, 21h, Le Pannonica, 9, rue Basse-Porte, Nantes. Tarif 5€. Contact et reservation : 02 51 72 10 10, www.pannonica.com";"Nantes";"44";"44109";"44000";"47.22118, -1.558729";"17/12/2016";"17/12/2016";"oui";"5";"";"";"";"";""
"16/12/2016";"Horaire, permanence";"44/Nantes";"Soliha";"Association";"5344906";"Vie quotidienne";"Horaires, ouverture, permanence";"Permanence";"Soliha";"Permanence.";"Informations sur les aides financières accordees aux proprietaires occupants pour les travaux de renovation du parc prive dans le cadre du Pig de Nantes metropole. Sur rendez-vous uniquement. Cette permanence aura lieu tous les vendredis du mois.";"Vendredi 16 decembre, 14h à 16h30, Soliha, 12, rue de la Haltinière, Nantes. Contact et reservation : 02 40 44 99 44.";"Nantes";"44";"44109";"44000";"47.24463, -1.505631";"16/12/2016";"16/12/2016";"non";"";"";"";"";"";""
"06/10/2016";"Atelier, activite de loisirs";"44/Nantes";"la Terre au bout des doigts";"Association";"5289639";"Loisirs et sports";"Atelier, activite de loisirs";"Poterie";"Poterie";"";"Cours « modelage et sculpture ceramique ». Creativite en volume avec « la terre au bout des doigts ». Loisir de qualite dans un cadre associatif. Cours à l’annee adultes du mercredi matin de 9 h 30 à 12 h 30 et stages enfants vacances en fevrier 2017 et stages raku adultes en mars 2017.";"Jusqu'au mercredi 14 juin 2017, 9h30 à 12h30, Atelier, 20, rue du Coudray, Nantes. Payant. Contact et reservation : 06 87 35 54 33, 06 80 95 85 12, terreboutdoigts@gmail.com, http://terreboutdoigts.wix.com/terreboutdesdoigts";"Nantes";"44";"44109";"44000";"47.23282, -1.543293";"06/10/2016";"14/06/2017";"oui";"";"";"";"Auditif|Visuel";"";""
"19/04/2016";"Action caritative";"44/Nantes";"Ambitions Jeunesses";"Association";"5053704";"Vie quotidienne";"Quête, vente caritative, appel aux dons";"Quête";"Ambitions Jeunesses";"Quête.";"L'association Ambitions Jeunesses en partenariat avec l'association les ""Bouchons d'amour"" collecte tous les bouchons en plastique, permettant à des personnes en situations de handicap de beneficier d'une aide financière.";"Jusqu'au vendredi 19 mai 2017, 10h à 12h30 et 14h à 20h15, Association Ambitions Jeunesses, 6 rue d'irlande, Nantes. Contact et reservation : 09 50 00 03 99, 07 82 65 14 52, ambitionsjeunesses@gmail.com, http://www.ambitions-jeunesses.com/";"Nantes";"44";"44109";"44000";"47.21684, -1.55674";"19/04/2016";"19/05/2017";"non";"";"";"";"";"";""
"21/10/2016";"Sortie, voyage";"44/Nantes";"Aimelsf";"Association";"5307614";"Loisirs et sports";"Sortie, voyage, pèlerinage";"Sortie";"Bar signes";"";"Organise par AIMELSF pour se retrouver entre sourds, malentendants et entendants afin de promouvoir la langue des signes française, ce qui permettra d'echanger la soif de culture sourde.";"Vendredi 21 octobre, vendredi 18 novembre, vendredi 16 decembre, 20h30 à 0h, Le Lieu-Unique, quai Fernidand-Favre, Nantes. Gratuit. Contact : www.aimelsf.fr";"Nantes";"44";"44109";"44000";"47.21523, -1.545443";"21/10/2016";"16/12/2016";"non";"";"";"";"Auditif";"";""
"14/09/2016";"Atelier, activite de loisirs";"44/Nantes";"atelier les Petites heures";"Association";"5252103";"Loisirs et sports";"Atelier, activite de loisirs";"Autre";"Sculpture (modelage terre)";"";"Inscriptions aux ateliers de sculpture (cours et stages).";"Du mercredi 14 septembre 2016 au jeudi 13 juillet 2017, Local associatif de l’amicale Sully, 7, rue Henri-Cochard, Nantes. Contact et reservation : 06 81 69 44 85, atelierlespetitesheures@gmail.com, http://www.atelierlespetitesheures.com/";"Nantes";"44";"44109";"44000";"47.22272, -1.549237";"14/09/2016";"13/07/2017";"non";"";"";"";"";"";""
"17/12/2016";"Spectacle";"44/Nantes";"le theâtre de Jeanne";"Équipement à but non lucratif (culture, sport et loisir)";"5127579";"Concerts, spectacles";"Autres scènes";"Humour";"Mes meilleurs ennuis";"Humour.";"Le lendemain d'une soiree bien arrosee, deux frères s'apprêtent à assister au mariage de leur sœur. Une matinee normale. Mais qui va tourner au cauchemar. 10 personnages au sein de problèmes qui se melangent dans un joyeux boulevard moderne. Les amis d'hier deviennent les ennuis d'aujourd'hui.";"Samedi 17 decembre, 20h, dimanche 18 decembre, 17h, lundi 19 decembre, 20h30, Le theâtre de Jeanne, 5, rue des Salorges, Nantes. Tarif 20€, autre : 12 € etudiants et demandeurs d'emploi sauf les vendredis et samedis. Contact et reservation : 06 99 10 76 05, resa.theatredejeanne@gmail.com, www.theatre-jeanne.com";"Nantes";"44";"44109";"44000";"47.2046, -1.575567";"17/12/2016";"19/12/2016";"oui";"20";"12 € etudiants et demandeurs d'emploi sauf les vendredis et samedis";"";"Auditif|Visuel|Mental|Moteur";"";""
